South_Ferry Rector_Street
Metropolitan_Avenue Graham_Avenue
Graham_Avenue Grand_Street
Grand_Street Montrose_Avenue
Montrose_Avenue Morgan_Avenue
Morgan_Avenue Jefferson_Street
Jefferson_Street DeKalb_Avenue
DeKalb_Avenue Halsey_Street
Halsey_Street Wilson_Avenue
Wilson_Avenue Bushwick_Avenue–Aberdeen_Street
Bushwick_Avenue–Aberdeen_Street Broadway_Junction
Broadway_Junction Atlantic_Avenue
Atlantic_Avenue Sutter_Avenue
Sutter_Avenue Livonia_Avenue
Livonia_Avenue New_Lots_Avenue
New_Lots_Avenue East_105th_Street
East_105th_Street Canarsie–Rockaway_Parkway
Canarsie–Rockaway_Parkway 14th_Street–8th_Avenue
Forest_Hills–71st_Avenue 67th_Avenue
67th_Avenue 63rd_Drive–Rego_Park
63rd_Drive–Rego_Park Woodhaven_Boulevard
Woodhaven_Boulevard Grand_Avenue–Newtown
Grand_Avenue–Newtown Elmhurst_Avenue
Elmhurst_Avenue 74th_Street–Broadway
74th_Street–Broadway 65th_Street
65th_Street Northern_Boulevard
Northern_Boulevard 46th_Street
46th_Street Steinway_Street
Steinway_Street 36th_Street
36th_Street 23rd_Street
23rd_Street Delancey_Street–Essex_Street
Delancey_Street–Essex_Street Queens_Plaza
Queens_Plaza Court_Square–23rd_Street
Court_Square–23rd_Street 53rd_Street–Lexington_Avenue
53rd_Street–Lexington_Avenue 53rd_Street–5th_Avenue
53rd_Street–5th_Avenue 47th–50th_Streets–Rockefeller_Center
47th–50th_Streets–Rockefeller_Center 5th_Avenue
5th_Avenue 34th_Street–Herald_Square
34th_Street–Herald_Square Broadway–Lafayette_Street
Broadway–Lafayette_Street Marcy_Avenue
Marcy_Avenue Hewes_Street
Hewes_Street Metropolitan_Avenue
Metropolitan_Avenue Flushing_Avenue
Flushing_Avenue Myrtle_Avenue
Myrtle_Avenue Knickerbocker_Avenue
Knickerbocker_Avenue Myrtle–Wyckoff_Avenues
Myrtle–Wyckoff_Avenues Seneca_Avenue
Seneca_Avenue Forest_Avenue
Forest_Avenue Fresh_Pond_Road
